№,Name,Decription,Price: ,Image URL
1,Land Rover Range Rover,"2018г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,140000км",$ 67 500,https://im.mashina.kg/tachka/images//3/d/b/3dbd985e30d13fd0c93b3e6465844d98_240x180.jpg
2,Toyota Camry,"2018г.,2.5л.,автоматседан,бензинрульслева,119000км",$ 18 500,https://im.mashina.kg/tachka/images//a/b/e/abe6c76b5cb4785302da0daa85f76356_240x180.jpg
3,Mercedes-Benz C-Класс,"2023г.,2л.,автоматседан,бензинрульслева,5400км",$ 42 000,https://im.mashina.kg/tachka/images//7/f/4/7f476301245450decaabebad6ed17784_240x180.jpg
4,Mercedes-Benz GLE,"2024г.,3л.,автоматвнедорожник5дв.,бензинрульслева,15км",$ 125 000,https://im.mashina.kg/tachka/images//7/a/c/7ac162d173082bbe8ef1a321207b7eee_240x180.jpg
5,Toyota Camry,"2020г.,2.5л.,вариаторседан,гибридрульслева,175000км",$ 19 999,https://im.mashina.kg/tachka/images//d/8/e/d8e505e1ee6eb303f2bc18c847d77202_240x180.jpg
6,Toyota Tacoma,"2022г.,2.7л.,автоматпикапполуторнаякабина,бензинрульслева,35083км",$ 31 000,https://im.mashina.kg/tachka/images//6/a/2/6a21cf113e13c513cd35d9804a009b6c_240x180.jpg
7,Lexus ES,"2017г.,2.5л.,автоматседан,бензинрульслева,102000км",$ 24 500,https://im.mashina.kg/tachka/images//a/c/c/acca4b1da9261de939e5c120cab9a4b8_240x180.jpg
8,BMW X5,"2016г.,3л.,автоматвнедорожник5дв.,бензинрульслева,127138км",$ 44 000,https://im.mashina.kg/tachka/images//5/3/5/535e8777d1285bf4d65ab5169d3347ef_240x180.jpg
9,Land Rover Range Rover,"2013г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,150000км",$ 44 000,https://im.mashina.kg/tachka/images//0/a/b/0abebc8e47c5b72063023a8dc9763783_240x180.jpg
10,BMW 7 серии,"2017г.,4.4л.,автоматседан,бензинрульслева,89000км",$ 49 990,https://im.mashina.kg/tachka/images//e/e/f/eef72cd4004e7f63f376d3d03b89ae59_240x180.jpg
11,BMW 7 серии,"2019г.,4.4л.,автоматседан,бензинрульслева,28000км",$ 98 000,https://im.mashina.kg/tachka/images//1/8/0/180d0869e933e6237d179ac81933964a_240x180.jpg
12,Voyah Free,"2023г.,1.5л.,автоматвнедорожник5дв.,гибридрульслева,50км",$ 40 000,https://im.mashina.kg/tachka/images//f/d/0/fd05e6106122eb68f2a769968839ef71_240x180.jpg
13,Lexus RX,"2016г.,3.5л.,вариаторвнедорожник5дв.,гибридрульслева,120000км",$ 39 900,https://im.mashina.kg/tachka/images//3/f/2/3f2a869bb1798bcaae6422f8ec01d327_240x180.jpg
14,Tesla Model 3,"2020г.,автоматседан,электрорульслева,16000км",$ 33 500,https://im.mashina.kg/tachka/images//9/0/7/907b16142ed0efb3a0daee7d90e87ff6_240x180.jpg
15,Land Rover Range Rover Sport,"2010г.,5л.,автоматвнедорожник5дв.,бензинрульслева,240000км",$ 18 500,https://im.mashina.kg/tachka/images//2/3/0/23011ff089578e45cf6964550914933a_240x180.jpg
16,Kia Mohave (Borrego),"2020г.,3л.,автоматвнедорожник5дв.,дизельрульслева,105000км",$ 39 500,https://im.mashina.kg/tachka/images//c/7/d/c7d997085dbafb3cd29e4701c4556bde_240x180.jpg
17,Land Rover Range Rover,"2019г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,62000км",$ 88 000,https://im.mashina.kg/tachka/images//1/0/3/1035343477378e43ff737597179024dc_240x180.jpg
18,Lexus RX,"2011г.,3.5л.,вариаторвнедорожник5дв.,гибридрульслева,170000км",$ 20 500,https://im.mashina.kg/tachka/images//8/1/e/81efa6321b490bd271db091c7b893b7a_240x180.jpg
19,Land Rover Range Rover,"2015г.,5л.,автоматвнедорожник5дв.,бензинрульслева,115000км",$ 45 000,https://im.mashina.kg/tachka/images//2/d/9/2d99908a9f8f430adce8120ff7e8b509_240x180.jpg
20,Lexus GX,"2008г.,4.7л.,автоматвнедорожник5дв.,бензинрульслева,301400км",$ 27 400,https://im.mashina.kg/tachka/images//9/e/3/9e392c7cca6c2db3a12ea0f383940d21_240x180.jpg
21,Land Rover Range Rover,"2018г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,140000км",$ 67 500,https://im.mashina.kg/tachka/images//3/d/b/3dbd985e30d13fd0c93b3e6465844d98_240x180.jpg
22,Toyota Camry,"2018г.,2.5л.,автоматседан,бензинрульслева,119000км",$ 18 500,https://im.mashina.kg/tachka/images//a/b/e/abe6c76b5cb4785302da0daa85f76356_240x180.jpg
23,Mercedes-Benz C-Класс,"2023г.,2л.,автоматседан,бензинрульслева,5400км",$ 42 000,https://im.mashina.kg/tachka/images//7/f/4/7f476301245450decaabebad6ed17784_240x180.jpg
24,Mercedes-Benz GLE,"2024г.,3л.,автоматвнедорожник5дв.,бензинрульслева,15км",$ 125 000,https://im.mashina.kg/tachka/images//7/a/c/7ac162d173082bbe8ef1a321207b7eee_240x180.jpg
25,Toyota Camry,"2020г.,2.5л.,вариаторседан,гибридрульслева,175000км",$ 19 999,https://im.mashina.kg/tachka/images//d/8/e/d8e505e1ee6eb303f2bc18c847d77202_240x180.jpg
26,Toyota Tacoma,"2022г.,2.7л.,автоматпикапполуторнаякабина,бензинрульслева,35083км",$ 31 000,https://im.mashina.kg/tachka/images//6/a/2/6a21cf113e13c513cd35d9804a009b6c_240x180.jpg
27,Lexus ES,"2017г.,2.5л.,автоматседан,бензинрульслева,102000км",$ 24 500,https://im.mashina.kg/tachka/images//a/c/c/acca4b1da9261de939e5c120cab9a4b8_240x180.jpg
28,BMW X5,"2016г.,3л.,автоматвнедорожник5дв.,бензинрульслева,127138км",$ 44 000,https://im.mashina.kg/tachka/images//5/3/5/535e8777d1285bf4d65ab5169d3347ef_240x180.jpg
29,Land Rover Range Rover,"2013г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,150000км",$ 44 000,https://im.mashina.kg/tachka/images//0/a/b/0abebc8e47c5b72063023a8dc9763783_240x180.jpg
30,BMW 7 серии,"2017г.,4.4л.,автоматседан,бензинрульслева,89000км",$ 49 990,https://im.mashina.kg/tachka/images//e/e/f/eef72cd4004e7f63f376d3d03b89ae59_240x180.jpg
31,BMW 7 серии,"2019г.,4.4л.,автоматседан,бензинрульслева,28000км",$ 98 000,https://im.mashina.kg/tachka/images//1/8/0/180d0869e933e6237d179ac81933964a_240x180.jpg
32,Voyah Free,"2023г.,1.5л.,автоматвнедорожник5дв.,гибридрульслева,50км",$ 40 000,https://im.mashina.kg/tachka/images//f/d/0/fd05e6106122eb68f2a769968839ef71_240x180.jpg
33,Lexus RX,"2016г.,3.5л.,вариаторвнедорожник5дв.,гибридрульслева,120000км",$ 39 900,https://im.mashina.kg/tachka/images//3/f/2/3f2a869bb1798bcaae6422f8ec01d327_240x180.jpg
34,Tesla Model 3,"2020г.,автоматседан,электрорульслева,16000км",$ 33 500,https://im.mashina.kg/tachka/images//9/0/7/907b16142ed0efb3a0daee7d90e87ff6_240x180.jpg
35,Land Rover Range Rover Sport,"2010г.,5л.,автоматвнедорожник5дв.,бензинрульслева,240000км",$ 18 500,https://im.mashina.kg/tachka/images//2/3/0/23011ff089578e45cf6964550914933a_240x180.jpg
36,Kia Mohave (Borrego),"2020г.,3л.,автоматвнедорожник5дв.,дизельрульслева,105000км",$ 39 500,https://im.mashina.kg/tachka/images//c/7/d/c7d997085dbafb3cd29e4701c4556bde_240x180.jpg
37,Land Rover Range Rover,"2019г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,62000км",$ 88 000,https://im.mashina.kg/tachka/images//1/0/3/1035343477378e43ff737597179024dc_240x180.jpg
38,Lexus RX,"2011г.,3.5л.,вариаторвнедорожник5дв.,гибридрульслева,170000км",$ 20 500,https://im.mashina.kg/tachka/images//8/1/e/81efa6321b490bd271db091c7b893b7a_240x180.jpg
39,Land Rover Range Rover,"2015г.,5л.,автоматвнедорожник5дв.,бензинрульслева,115000км",$ 45 000,https://im.mashina.kg/tachka/images//2/d/9/2d99908a9f8f430adce8120ff7e8b509_240x180.jpg
40,Lexus GX,"2008г.,4.7л.,автоматвнедорожник5дв.,бензинрульслева,301400км",$ 27 400,https://im.mashina.kg/tachka/images//9/e/3/9e392c7cca6c2db3a12ea0f383940d21_240x180.jpg
41,Land Rover Range Rover,"2018г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,140000км",$ 67 500,https://im.mashina.kg/tachka/images//3/d/b/3dbd985e30d13fd0c93b3e6465844d98_240x180.jpg
42,Toyota Camry,"2018г.,2.5л.,автоматседан,бензинрульслева,119000км",$ 18 500,https://im.mashina.kg/tachka/images//a/b/e/abe6c76b5cb4785302da0daa85f76356_240x180.jpg
43,Mercedes-Benz C-Класс,"2023г.,2л.,автоматседан,бензинрульслева,5400км",$ 42 000,https://im.mashina.kg/tachka/images//7/f/4/7f476301245450decaabebad6ed17784_240x180.jpg
44,Mercedes-Benz GLE,"2024г.,3л.,автоматвнедорожник5дв.,бензинрульслева,15км",$ 125 000,https://im.mashina.kg/tachka/images//7/a/c/7ac162d173082bbe8ef1a321207b7eee_240x180.jpg
45,Toyota Camry,"2020г.,2.5л.,вариаторседан,гибридрульслева,175000км",$ 19 999,https://im.mashina.kg/tachka/images//d/8/e/d8e505e1ee6eb303f2bc18c847d77202_240x180.jpg
46,Toyota Tacoma,"2022г.,2.7л.,автоматпикапполуторнаякабина,бензинрульслева,35083км",$ 31 000,https://im.mashina.kg/tachka/images//6/a/2/6a21cf113e13c513cd35d9804a009b6c_240x180.jpg
47,Lexus ES,"2017г.,2.5л.,автоматседан,бензинрульслева,102000км",$ 24 500,https://im.mashina.kg/tachka/images//a/c/c/acca4b1da9261de939e5c120cab9a4b8_240x180.jpg
48,BMW X5,"2016г.,3л.,автоматвнедорожник5дв.,бензинрульслева,127138км",$ 44 000,https://im.mashina.kg/tachka/images//5/3/5/535e8777d1285bf4d65ab5169d3347ef_240x180.jpg
49,Land Rover Range Rover,"2013г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,150000км",$ 44 000,https://im.mashina.kg/tachka/images//0/a/b/0abebc8e47c5b72063023a8dc9763783_240x180.jpg
50,BMW 7 серии,"2017г.,4.4л.,автоматседан,бензинрульслева,89000км",$ 49 990,https://im.mashina.kg/tachka/images//e/e/f/eef72cd4004e7f63f376d3d03b89ae59_240x180.jpg
51,BMW 7 серии,"2019г.,4.4л.,автоматседан,бензинрульслева,28000км",$ 98 000,https://im.mashina.kg/tachka/images//1/8/0/180d0869e933e6237d179ac81933964a_240x180.jpg
52,Voyah Free,"2023г.,1.5л.,автоматвнедорожник5дв.,гибридрульслева,50км",$ 40 000,https://im.mashina.kg/tachka/images//f/d/0/fd05e6106122eb68f2a769968839ef71_240x180.jpg
53,Lexus RX,"2016г.,3.5л.,вариаторвнедорожник5дв.,гибридрульслева,120000км",$ 39 900,https://im.mashina.kg/tachka/images//3/f/2/3f2a869bb1798bcaae6422f8ec01d327_240x180.jpg
54,Tesla Model 3,"2020г.,автоматседан,электрорульслева,16000км",$ 33 500,https://im.mashina.kg/tachka/images//9/0/7/907b16142ed0efb3a0daee7d90e87ff6_240x180.jpg
55,Land Rover Range Rover Sport,"2010г.,5л.,автоматвнедорожник5дв.,бензинрульслева,240000км",$ 18 500,https://im.mashina.kg/tachka/images//2/3/0/23011ff089578e45cf6964550914933a_240x180.jpg
56,Kia Mohave (Borrego),"2020г.,3л.,автоматвнедорожник5дв.,дизельрульслева,105000км",$ 39 500,https://im.mashina.kg/tachka/images//c/7/d/c7d997085dbafb3cd29e4701c4556bde_240x180.jpg
57,Land Rover Range Rover,"2019г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,62000км",$ 88 000,https://im.mashina.kg/tachka/images//1/0/3/1035343477378e43ff737597179024dc_240x180.jpg
58,Lexus RX,"2011г.,3.5л.,вариаторвнедорожник5дв.,гибридрульслева,170000км",$ 20 500,https://im.mashina.kg/tachka/images//8/1/e/81efa6321b490bd271db091c7b893b7a_240x180.jpg
59,Land Rover Range Rover,"2015г.,5л.,автоматвнедорожник5дв.,бензинрульслева,115000км",$ 45 000,https://im.mashina.kg/tachka/images//2/d/9/2d99908a9f8f430adce8120ff7e8b509_240x180.jpg
60,Lexus GX,"2008г.,4.7л.,автоматвнедорожник5дв.,бензинрульслева,301400км",$ 27 400,https://im.mashina.kg/tachka/images//9/e/3/9e392c7cca6c2db3a12ea0f383940d21_240x180.jpg
61,Land Rover Range Rover,"2018г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,140000км",$ 67 500,https://im.mashina.kg/tachka/images//3/d/b/3dbd985e30d13fd0c93b3e6465844d98_240x180.jpg
62,Toyota Camry,"2018г.,2.5л.,автоматседан,бензинрульслева,119000км",$ 18 500,https://im.mashina.kg/tachka/images//a/b/e/abe6c76b5cb4785302da0daa85f76356_240x180.jpg
63,Mercedes-Benz C-Класс,"2023г.,2л.,автоматседан,бензинрульслева,5400км",$ 42 000,https://im.mashina.kg/tachka/images//7/f/4/7f476301245450decaabebad6ed17784_240x180.jpg
64,Mercedes-Benz GLE,"2024г.,3л.,автоматвнедорожник5дв.,бензинрульслева,15км",$ 125 000,https://im.mashina.kg/tachka/images//7/a/c/7ac162d173082bbe8ef1a321207b7eee_240x180.jpg
65,Toyota Camry,"2020г.,2.5л.,вариаторседан,гибридрульслева,175000км",$ 19 999,https://im.mashina.kg/tachka/images//d/8/e/d8e505e1ee6eb303f2bc18c847d77202_240x180.jpg
66,Toyota Tacoma,"2022г.,2.7л.,автоматпикапполуторнаякабина,бензинрульслева,35083км",$ 31 000,https://im.mashina.kg/tachka/images//6/a/2/6a21cf113e13c513cd35d9804a009b6c_240x180.jpg
67,Lexus ES,"2017г.,2.5л.,автоматседан,бензинрульслева,102000км",$ 24 500,https://im.mashina.kg/tachka/images//a/c/c/acca4b1da9261de939e5c120cab9a4b8_240x180.jpg
68,BMW X5,"2016г.,3л.,автоматвнедорожник5дв.,бензинрульслева,127138км",$ 44 000,https://im.mashina.kg/tachka/images//5/3/5/535e8777d1285bf4d65ab5169d3347ef_240x180.jpg
69,Land Rover Range Rover,"2013г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,150000км",$ 44 000,https://im.mashina.kg/tachka/images//0/a/b/0abebc8e47c5b72063023a8dc9763783_240x180.jpg
70,BMW 7 серии,"2017г.,4.4л.,автоматседан,бензинрульслева,89000км",$ 49 990,https://im.mashina.kg/tachka/images//e/e/f/eef72cd4004e7f63f376d3d03b89ae59_240x180.jpg
71,BMW 7 серии,"2019г.,4.4л.,автоматседан,бензинрульслева,28000км",$ 98 000,https://im.mashina.kg/tachka/images//1/8/0/180d0869e933e6237d179ac81933964a_240x180.jpg
72,Voyah Free,"2023г.,1.5л.,автоматвнедорожник5дв.,гибридрульслева,50км",$ 40 000,https://im.mashina.kg/tachka/images//f/d/0/fd05e6106122eb68f2a769968839ef71_240x180.jpg
73,Lexus RX,"2016г.,3.5л.,вариаторвнедорожник5дв.,гибридрульслева,120000км",$ 39 900,https://im.mashina.kg/tachka/images//3/f/2/3f2a869bb1798bcaae6422f8ec01d327_240x180.jpg
74,Tesla Model 3,"2020г.,автоматседан,электрорульслева,16000км",$ 33 500,https://im.mashina.kg/tachka/images//9/0/7/907b16142ed0efb3a0daee7d90e87ff6_240x180.jpg
75,Land Rover Range Rover Sport,"2010г.,5л.,автоматвнедорожник5дв.,бензинрульслева,240000км",$ 18 500,https://im.mashina.kg/tachka/images//2/3/0/23011ff089578e45cf6964550914933a_240x180.jpg
76,Kia Mohave (Borrego),"2020г.,3л.,автоматвнедорожник5дв.,дизельрульслева,105000км",$ 39 500,https://im.mashina.kg/tachka/images//c/7/d/c7d997085dbafb3cd29e4701c4556bde_240x180.jpg
77,Land Rover Range Rover,"2019г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,62000км",$ 88 000,https://im.mashina.kg/tachka/images//1/0/3/1035343477378e43ff737597179024dc_240x180.jpg
78,Lexus RX,"2011г.,3.5л.,вариаторвнедорожник5дв.,гибридрульслева,170000км",$ 20 500,https://im.mashina.kg/tachka/images//8/1/e/81efa6321b490bd271db091c7b893b7a_240x180.jpg
79,Land Rover Range Rover,"2015г.,5л.,автоматвнедорожник5дв.,бензинрульслева,115000км",$ 45 000,https://im.mashina.kg/tachka/images//2/d/9/2d99908a9f8f430adce8120ff7e8b509_240x180.jpg
80,Lexus GX,"2008г.,4.7л.,автоматвнедорожник5дв.,бензинрульслева,301400км",$ 27 400,https://im.mashina.kg/tachka/images//9/e/3/9e392c7cca6c2db3a12ea0f383940d21_240x180.jpg
