№,Name,Decription,Price: ,Image URL
81,Land Rover Range Rover,"2018г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,140000км",$ 67 500,https://im.mashina.kg/tachka/images//3/d/b/3dbd985e30d13fd0c93b3e6465844d98_240x180.jpg
82,Toyota Camry,"2018г.,2.5л.,автоматседан,бензинрульслева,119000км",$ 18 500,https://im.mashina.kg/tachka/images//a/b/e/abe6c76b5cb4785302da0daa85f76356_240x180.jpg
83,Mercedes-Benz C-Класс,"2023г.,2л.,автоматседан,бензинрульслева,5400км",$ 42 000,https://im.mashina.kg/tachka/images//7/f/4/7f476301245450decaabebad6ed17784_240x180.jpg
84,Mercedes-Benz GLE,"2024г.,3л.,автоматвнедорожник5дв.,бензинрульслева,15км",$ 125 000,https://im.mashina.kg/tachka/images//7/a/c/7ac162d173082bbe8ef1a321207b7eee_240x180.jpg
85,Toyota Camry,"2020г.,2.5л.,вариаторседан,гибридрульслева,175000км",$ 19 999,https://im.mashina.kg/tachka/images//d/8/e/d8e505e1ee6eb303f2bc18c847d77202_240x180.jpg
86,Toyota Tacoma,"2022г.,2.7л.,автоматпикапполуторнаякабина,бензинрульслева,35083км",$ 31 000,https://im.mashina.kg/tachka/images//6/a/2/6a21cf113e13c513cd35d9804a009b6c_240x180.jpg
87,Lexus ES,"2017г.,2.5л.,автоматседан,бензинрульслева,102000км",$ 24 500,https://im.mashina.kg/tachka/images//a/c/c/acca4b1da9261de939e5c120cab9a4b8_240x180.jpg
88,BMW X5,"2016г.,3л.,автоматвнедорожник5дв.,бензинрульслева,127138км",$ 44 000,https://im.mashina.kg/tachka/images//5/3/5/535e8777d1285bf4d65ab5169d3347ef_240x180.jpg
89,Land Rover Range Rover,"2013г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,150000км",$ 44 000,https://im.mashina.kg/tachka/images//0/a/b/0abebc8e47c5b72063023a8dc9763783_240x180.jpg
90,BMW 7 серии,"2017г.,4.4л.,автоматседан,бензинрульслева,89000км",$ 49 990,https://im.mashina.kg/tachka/images//e/e/f/eef72cd4004e7f63f376d3d03b89ae59_240x180.jpg
91,BMW 7 серии,"2019г.,4.4л.,автоматседан,бензинрульслева,28000км",$ 98 000,https://im.mashina.kg/tachka/images//1/8/0/180d0869e933e6237d179ac81933964a_240x180.jpg
92,Voyah Free,"2023г.,1.5л.,автоматвнедорожник5дв.,гибридрульслева,50км",$ 40 000,https://im.mashina.kg/tachka/images//f/d/0/fd05e6106122eb68f2a769968839ef71_240x180.jpg
93,Lexus RX,"2016г.,3.5л.,вариаторвнедорожник5дв.,гибридрульслева,120000км",$ 39 900,https://im.mashina.kg/tachka/images//3/f/2/3f2a869bb1798bcaae6422f8ec01d327_240x180.jpg
94,Tesla Model 3,"2020г.,автоматседан,электрорульслева,16000км",$ 33 500,https://im.mashina.kg/tachka/images//9/0/7/907b16142ed0efb3a0daee7d90e87ff6_240x180.jpg
95,Land Rover Range Rover Sport,"2010г.,5л.,автоматвнедорожник5дв.,бензинрульслева,240000км",$ 18 500,https://im.mashina.kg/tachka/images//2/3/0/23011ff089578e45cf6964550914933a_240x180.jpg
96,Kia Mohave (Borrego),"2020г.,3л.,автоматвнедорожник5дв.,дизельрульслева,105000км",$ 39 500,https://im.mashina.kg/tachka/images//c/7/d/c7d997085dbafb3cd29e4701c4556bde_240x180.jpg
97,Land Rover Range Rover,"2019г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,62000км",$ 88 000,https://im.mashina.kg/tachka/images//1/0/3/1035343477378e43ff737597179024dc_240x180.jpg
98,Lexus RX,"2011г.,3.5л.,вариаторвнедорожник5дв.,гибридрульслева,170000км",$ 20 500,https://im.mashina.kg/tachka/images//8/1/e/81efa6321b490bd271db091c7b893b7a_240x180.jpg
99,Land Rover Range Rover,"2015г.,5л.,автоматвнедорожник5дв.,бензинрульслева,115000км",$ 45 000,https://im.mashina.kg/tachka/images//2/d/9/2d99908a9f8f430adce8120ff7e8b509_240x180.jpg
100,Lexus GX,"2008г.,4.7л.,автоматвнедорожник5дв.,бензинрульслева,301400км",$ 27 400,https://im.mashina.kg/tachka/images//9/e/3/9e392c7cca6c2db3a12ea0f383940d21_240x180.jpg
101,Land Rover Range Rover,"2018г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,140000км",$ 67 500,https://im.mashina.kg/tachka/images//3/d/b/3dbd985e30d13fd0c93b3e6465844d98_240x180.jpg
102,Toyota Camry,"2018г.,2.5л.,автоматседан,бензинрульслева,119000км",$ 18 500,https://im.mashina.kg/tachka/images//a/b/e/abe6c76b5cb4785302da0daa85f76356_240x180.jpg
103,Mercedes-Benz C-Класс,"2023г.,2л.,автоматседан,бензинрульслева,5400км",$ 42 000,https://im.mashina.kg/tachka/images//7/f/4/7f476301245450decaabebad6ed17784_240x180.jpg
104,Mercedes-Benz GLE,"2024г.,3л.,автоматвнедорожник5дв.,бензинрульслева,15км",$ 125 000,https://im.mashina.kg/tachka/images//7/a/c/7ac162d173082bbe8ef1a321207b7eee_240x180.jpg
105,Toyota Camry,"2020г.,2.5л.,вариаторседан,гибридрульслева,175000км",$ 19 999,https://im.mashina.kg/tachka/images//d/8/e/d8e505e1ee6eb303f2bc18c847d77202_240x180.jpg
106,Toyota Tacoma,"2022г.,2.7л.,автоматпикапполуторнаякабина,бензинрульслева,35083км",$ 31 000,https://im.mashina.kg/tachka/images//6/a/2/6a21cf113e13c513cd35d9804a009b6c_240x180.jpg
107,Lexus ES,"2017г.,2.5л.,автоматседан,бензинрульслева,102000км",$ 24 500,https://im.mashina.kg/tachka/images//a/c/c/acca4b1da9261de939e5c120cab9a4b8_240x180.jpg
108,BMW X5,"2016г.,3л.,автоматвнедорожник5дв.,бензинрульслева,127138км",$ 44 000,https://im.mashina.kg/tachka/images//5/3/5/535e8777d1285bf4d65ab5169d3347ef_240x180.jpg
109,Land Rover Range Rover,"2013г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,150000км",$ 44 000,https://im.mashina.kg/tachka/images//0/a/b/0abebc8e47c5b72063023a8dc9763783_240x180.jpg
110,BMW 7 серии,"2017г.,4.4л.,автоматседан,бензинрульслева,89000км",$ 49 990,https://im.mashina.kg/tachka/images//e/e/f/eef72cd4004e7f63f376d3d03b89ae59_240x180.jpg
111,BMW 7 серии,"2019г.,4.4л.,автоматседан,бензинрульслева,28000км",$ 98 000,https://im.mashina.kg/tachka/images//1/8/0/180d0869e933e6237d179ac81933964a_240x180.jpg
112,Voyah Free,"2023г.,1.5л.,автоматвнедорожник5дв.,гибридрульслева,50км",$ 40 000,https://im.mashina.kg/tachka/images//f/d/0/fd05e6106122eb68f2a769968839ef71_240x180.jpg
113,Lexus RX,"2016г.,3.5л.,вариаторвнедорожник5дв.,гибридрульслева,120000км",$ 39 900,https://im.mashina.kg/tachka/images//3/f/2/3f2a869bb1798bcaae6422f8ec01d327_240x180.jpg
114,Tesla Model 3,"2020г.,автоматседан,электрорульслева,16000км",$ 33 500,https://im.mashina.kg/tachka/images//9/0/7/907b16142ed0efb3a0daee7d90e87ff6_240x180.jpg
115,Land Rover Range Rover Sport,"2010г.,5л.,автоматвнедорожник5дв.,бензинрульслева,240000км",$ 18 500,https://im.mashina.kg/tachka/images//2/3/0/23011ff089578e45cf6964550914933a_240x180.jpg
116,Kia Mohave (Borrego),"2020г.,3л.,автоматвнедорожник5дв.,дизельрульслева,105000км",$ 39 500,https://im.mashina.kg/tachka/images//c/7/d/c7d997085dbafb3cd29e4701c4556bde_240x180.jpg
117,Land Rover Range Rover,"2019г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,62000км",$ 88 000,https://im.mashina.kg/tachka/images//1/0/3/1035343477378e43ff737597179024dc_240x180.jpg
118,Lexus RX,"2011г.,3.5л.,вариаторвнедорожник5дв.,гибридрульслева,170000км",$ 20 500,https://im.mashina.kg/tachka/images//8/1/e/81efa6321b490bd271db091c7b893b7a_240x180.jpg
119,Land Rover Range Rover,"2015г.,5л.,автоматвнедорожник5дв.,бензинрульслева,115000км",$ 45 000,https://im.mashina.kg/tachka/images//2/d/9/2d99908a9f8f430adce8120ff7e8b509_240x180.jpg
120,Lexus GX,"2008г.,4.7л.,автоматвнедорожник5дв.,бензинрульслева,301400км",$ 27 400,https://im.mashina.kg/tachka/images//9/e/3/9e392c7cca6c2db3a12ea0f383940d21_240x180.jpg
121,Land Rover Range Rover,"2018г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,140000км",$ 67 500,https://im.mashina.kg/tachka/images//3/d/b/3dbd985e30d13fd0c93b3e6465844d98_240x180.jpg
122,Toyota Camry,"2018г.,2.5л.,автоматседан,бензинрульслева,119000км",$ 18 500,https://im.mashina.kg/tachka/images//a/b/e/abe6c76b5cb4785302da0daa85f76356_240x180.jpg
123,Mercedes-Benz C-Класс,"2023г.,2л.,автоматседан,бензинрульслева,5400км",$ 42 000,https://im.mashina.kg/tachka/images//7/f/4/7f476301245450decaabebad6ed17784_240x180.jpg
124,Mercedes-Benz GLE,"2024г.,3л.,автоматвнедорожник5дв.,бензинрульслева,15км",$ 125 000,https://im.mashina.kg/tachka/images//7/a/c/7ac162d173082bbe8ef1a321207b7eee_240x180.jpg
125,Toyota Camry,"2020г.,2.5л.,вариаторседан,гибридрульслева,175000км",$ 19 999,https://im.mashina.kg/tachka/images//d/8/e/d8e505e1ee6eb303f2bc18c847d77202_240x180.jpg
126,Toyota Tacoma,"2022г.,2.7л.,автоматпикапполуторнаякабина,бензинрульслева,35083км",$ 31 000,https://im.mashina.kg/tachka/images//6/a/2/6a21cf113e13c513cd35d9804a009b6c_240x180.jpg
127,Lexus ES,"2017г.,2.5л.,автоматседан,бензинрульслева,102000км",$ 24 500,https://im.mashina.kg/tachka/images//a/c/c/acca4b1da9261de939e5c120cab9a4b8_240x180.jpg
128,BMW X5,"2016г.,3л.,автоматвнедорожник5дв.,бензинрульслева,127138км",$ 44 000,https://im.mashina.kg/tachka/images//5/3/5/535e8777d1285bf4d65ab5169d3347ef_240x180.jpg
129,Land Rover Range Rover,"2013г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,150000км",$ 44 000,https://im.mashina.kg/tachka/images//0/a/b/0abebc8e47c5b72063023a8dc9763783_240x180.jpg
130,BMW 7 серии,"2017г.,4.4л.,автоматседан,бензинрульслева,89000км",$ 49 990,https://im.mashina.kg/tachka/images//e/e/f/eef72cd4004e7f63f376d3d03b89ae59_240x180.jpg
131,BMW 7 серии,"2019г.,4.4л.,автоматседан,бензинрульслева,28000км",$ 98 000,https://im.mashina.kg/tachka/images//1/8/0/180d0869e933e6237d179ac81933964a_240x180.jpg
132,Voyah Free,"2023г.,1.5л.,автоматвнедорожник5дв.,гибридрульслева,50км",$ 40 000,https://im.mashina.kg/tachka/images//f/d/0/fd05e6106122eb68f2a769968839ef71_240x180.jpg
133,Lexus RX,"2016г.,3.5л.,вариаторвнедорожник5дв.,гибридрульслева,120000км",$ 39 900,https://im.mashina.kg/tachka/images//3/f/2/3f2a869bb1798bcaae6422f8ec01d327_240x180.jpg
134,Tesla Model 3,"2020г.,автоматседан,электрорульслева,16000км",$ 33 500,https://im.mashina.kg/tachka/images//9/0/7/907b16142ed0efb3a0daee7d90e87ff6_240x180.jpg
135,Land Rover Range Rover Sport,"2010г.,5л.,автоматвнедорожник5дв.,бензинрульслева,240000км",$ 18 500,https://im.mashina.kg/tachka/images//2/3/0/23011ff089578e45cf6964550914933a_240x180.jpg
136,Kia Mohave (Borrego),"2020г.,3л.,автоматвнедорожник5дв.,дизельрульслева,105000км",$ 39 500,https://im.mashina.kg/tachka/images//c/7/d/c7d997085dbafb3cd29e4701c4556bde_240x180.jpg
137,Land Rover Range Rover,"2019г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,62000км",$ 88 000,https://im.mashina.kg/tachka/images//1/0/3/1035343477378e43ff737597179024dc_240x180.jpg
138,Lexus RX,"2011г.,3.5л.,вариаторвнедорожник5дв.,гибридрульслева,170000км",$ 20 500,https://im.mashina.kg/tachka/images//8/1/e/81efa6321b490bd271db091c7b893b7a_240x180.jpg
139,Land Rover Range Rover,"2015г.,5л.,автоматвнедорожник5дв.,бензинрульслева,115000км",$ 45 000,https://im.mashina.kg/tachka/images//2/d/9/2d99908a9f8f430adce8120ff7e8b509_240x180.jpg
140,Lexus GX,"2008г.,4.7л.,автоматвнедорожник5дв.,бензинрульслева,301400км",$ 27 400,https://im.mashina.kg/tachka/images//9/e/3/9e392c7cca6c2db3a12ea0f383940d21_240x180.jpg
141,Land Rover Range Rover,"2018г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,140000км",$ 67 500,https://im.mashina.kg/tachka/images//3/d/b/3dbd985e30d13fd0c93b3e6465844d98_240x180.jpg
142,Toyota Camry,"2018г.,2.5л.,автоматседан,бензинрульслева,119000км",$ 18 500,https://im.mashina.kg/tachka/images//a/b/e/abe6c76b5cb4785302da0daa85f76356_240x180.jpg
143,Mercedes-Benz C-Класс,"2023г.,2л.,автоматседан,бензинрульслева,5400км",$ 42 000,https://im.mashina.kg/tachka/images//7/f/4/7f476301245450decaabebad6ed17784_240x180.jpg
144,Mercedes-Benz GLE,"2024г.,3л.,автоматвнедорожник5дв.,бензинрульслева,15км",$ 125 000,https://im.mashina.kg/tachka/images//7/a/c/7ac162d173082bbe8ef1a321207b7eee_240x180.jpg
145,Toyota Camry,"2020г.,2.5л.,вариаторседан,гибридрульслева,175000км",$ 19 999,https://im.mashina.kg/tachka/images//d/8/e/d8e505e1ee6eb303f2bc18c847d77202_240x180.jpg
146,Toyota Tacoma,"2022г.,2.7л.,автоматпикапполуторнаякабина,бензинрульслева,35083км",$ 31 000,https://im.mashina.kg/tachka/images//6/a/2/6a21cf113e13c513cd35d9804a009b6c_240x180.jpg
147,Lexus ES,"2017г.,2.5л.,автоматседан,бензинрульслева,102000км",$ 24 500,https://im.mashina.kg/tachka/images//a/c/c/acca4b1da9261de939e5c120cab9a4b8_240x180.jpg
148,BMW X5,"2016г.,3л.,автоматвнедорожник5дв.,бензинрульслева,127138км",$ 44 000,https://im.mashina.kg/tachka/images//5/3/5/535e8777d1285bf4d65ab5169d3347ef_240x180.jpg
149,Land Rover Range Rover,"2013г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,150000км",$ 44 000,https://im.mashina.kg/tachka/images//0/a/b/0abebc8e47c5b72063023a8dc9763783_240x180.jpg
150,BMW 7 серии,"2017г.,4.4л.,автоматседан,бензинрульслева,89000км",$ 49 990,https://im.mashina.kg/tachka/images//e/e/f/eef72cd4004e7f63f376d3d03b89ae59_240x180.jpg
151,BMW 7 серии,"2019г.,4.4л.,автоматседан,бензинрульслева,28000км",$ 98 000,https://im.mashina.kg/tachka/images//1/8/0/180d0869e933e6237d179ac81933964a_240x180.jpg
152,Voyah Free,"2023г.,1.5л.,автоматвнедорожник5дв.,гибридрульслева,50км",$ 40 000,https://im.mashina.kg/tachka/images//f/d/0/fd05e6106122eb68f2a769968839ef71_240x180.jpg
153,Lexus RX,"2016г.,3.5л.,вариаторвнедорожник5дв.,гибридрульслева,120000км",$ 39 900,https://im.mashina.kg/tachka/images//3/f/2/3f2a869bb1798bcaae6422f8ec01d327_240x180.jpg
154,Tesla Model 3,"2020г.,автоматседан,электрорульслева,16000км",$ 33 500,https://im.mashina.kg/tachka/images//9/0/7/907b16142ed0efb3a0daee7d90e87ff6_240x180.jpg
155,Land Rover Range Rover Sport,"2010г.,5л.,автоматвнедорожник5дв.,бензинрульслева,240000км",$ 18 500,https://im.mashina.kg/tachka/images//2/3/0/23011ff089578e45cf6964550914933a_240x180.jpg
156,Kia Mohave (Borrego),"2020г.,3л.,автоматвнедорожник5дв.,дизельрульслева,105000км",$ 39 500,https://im.mashina.kg/tachka/images//c/7/d/c7d997085dbafb3cd29e4701c4556bde_240x180.jpg
157,Land Rover Range Rover,"2019г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,62000км",$ 88 000,https://im.mashina.kg/tachka/images//1/0/3/1035343477378e43ff737597179024dc_240x180.jpg
158,Lexus RX,"2011г.,3.5л.,вариаторвнедорожник5дв.,гибридрульслева,170000км",$ 20 500,https://im.mashina.kg/tachka/images//8/1/e/81efa6321b490bd271db091c7b893b7a_240x180.jpg
159,Land Rover Range Rover,"2015г.,5л.,автоматвнедорожник5дв.,бензинрульслева,115000км",$ 45 000,https://im.mashina.kg/tachka/images//2/d/9/2d99908a9f8f430adce8120ff7e8b509_240x180.jpg
160,Lexus GX,"2008г.,4.7л.,автоматвнедорожник5дв.,бензинрульслева,301400км",$ 27 400,https://im.mashina.kg/tachka/images//9/e/3/9e392c7cca6c2db3a12ea0f383940d21_240x180.jpg
